id,sample_accession,accession,study_accession,lineage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR133839,SAMEA1403716,SAMEA1403716,PRJEB2138,lineage2.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR133840,SAMEA1403728,SAMEA1403728,PRJEB2138,lineage2.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR133841,SAMEA1404007,SAMEA1404007,PRJEB2138,lineage4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR133844,SAMEA1404026,SAMEA1404026,PRJEB2138,lineage2.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR133846,SAMEA1404038,SAMEA1404038,PRJEB2138,lineage4.3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR133847,SAMEA1404040,SAMEA1404040,PRJEB2138,lineage2.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR133849,SAMEA1403933,SAMEA1403933,PRJEB2138,lineage4.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR133850,SAMEA1403930,SAMEA1403930,PRJEB2138,lineage4.1.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR133851,SAMEA1403816,SAMEA1403816,PRJEB2138,lineage4.3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR133852,SAMEA1403832,SAMEA1403832,PRJEB2138,lineage2.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR133854,SAMEA1403848,SAMEA1403848,PRJEB2138,lineage2.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR133855,SAMEA1403842,SAMEA1403842,PRJEB2138,lineage2.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR133856,SAMEA1403837,SAMEA1403837,PRJEB2138,lineage2.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR133857,SAMEA1403761,SAMEA1403761,PRJEB2138,lineage4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR133858,SAMEA1403763,SAMEA1403763,PRJEB2138,lineage4.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR133859,SAMEA1403743,SAMEA1403743,PRJEB2138,lineage2.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR133860,SAMEA1403750,SAMEA1403750,PRJEB2138,lineage2.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR133862,SAMEA1403649,SAMEA1403649,PRJEB2138,lineage2.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR133863,SAMEA1403643,SAMEA1403643,PRJEB2138,lineage2.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR133864,SAMEA1403582,SAMEA1403582,PRJEB2138,lineage4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR133865,SAMEA1403573,SAMEA1403573,PRJEB2138,lineage2.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR133866,SAMEA1403567,SAMEA1403567,PRJEB2138,lineage2.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR133868,SAMEA1403550,SAMEA1403550,PRJEB2138,lineage2.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR133870,SAMEA1403604,SAMEA1403604,PRJEB2138,lineage4.1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR133871,SAMEA1403954,SAMEA1403954,PRJEB2138,lineage2.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR133872,SAMEA1403900,SAMEA1403900,PRJEB2138,lineage4.3.4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR133873,SAMEA1403896,SAMEA1403896,PRJEB2138,lineage2.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR133874,SAMEA1403928,SAMEA1403928,PRJEB2138,lineage4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR133875,SAMEA1403913,SAMEA1403913,PRJEB2138,lineage2.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR133876,SAMEA1403868,SAMEA1403868,PRJEB2138,lineage4.3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR133877,SAMEA1403857,SAMEA1403857,PRJEB2138,lineage4.1.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR133878,SAMEA1403852,SAMEA1403852,PRJEB2138,lineage4.1.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR133879,SAMEA1403884,SAMEA1403884,PRJEB2138,lineage2.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR133880,SAMEA1403874,SAMEA1403874,PRJEB2138,lineage2.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR133881,SAMEA1403735,SAMEA1403735,PRJEB2138,lineage4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR133882,SAMEA1403713,SAMEA1403713,PRJEB2138,lineage2.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR133883,SAMEA1403721,SAMEA1403721,PRJEB2138,lineage4.1.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR133885,SAMEA1403703,SAMEA1403703,PRJEB2138,lineage2.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR133886,SAMEA1403676,SAMEA1403676,PRJEB2138,lineage2.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR133888,SAMEA1403690,SAMEA1403690,PRJEB2138,lineage2.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR133889,SAMEA1403670,SAMEA1403670,PRJEB2138,lineage2.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR133890,SAMEA1403657,SAMEA1403657,PRJEB2138,lineage2.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR133891,SAMEA1403975,SAMEA1403975,PRJEB2138,lineage2.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR133892,SAMEA1403979,SAMEA1403979,PRJEB2138,lineage2.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR133893,SAMEA1403968,SAMEA1403968,PRJEB2138,lineage4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR133895,SAMEA1403983,SAMEA1403983,PRJEB2138,lineage2.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR133896,SAMEA1404010,SAMEA1404010,PRJEB2138,lineage2.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR133897,SAMEA1404002,SAMEA1404002,PRJEB2138,lineage4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR133898,SAMEA1404024,SAMEA1404024,PRJEB2138,lineage2.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR133899,SAMEA1404021,SAMEA1404021,PRJEB2138,lineage2.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR133900,SAMEA1404014,SAMEA1404014,PRJEB2138,lineage2.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR133901,SAMEA1403915,SAMEA1403915,PRJEB2138,lineage2.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR133902,SAMEA1403927,SAMEA1403927,PRJEB2138,lineage2.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR133903,SAMEA1403918,SAMEA1403918,PRJEB2138,lineage4.3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR133904,SAMEA1403706,SAMEA1403706,PRJEB2138,lineage2.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR133905,SAMEA1403701,SAMEA1403701,PRJEB2138,lineage4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR133906,SAMEA1403688,SAMEA1403688,PRJEB2138,lineage2.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR133907,SAMEA1403673,SAMEA1403673,PRJEB2138,lineage2.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR133908,SAMEA1403732,SAMEA1403732,PRJEB2138,lineage2.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR133909,SAMEA1403727,SAMEA1403727,PRJEB2138,lineage4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR133911,SAMEA1403653,SAMEA1403653,PRJEB2138,lineage4.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR133912,SAMEA1403664,SAMEA1403664,PRJEB2138,lineage4.3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR133913,SAMEA1403666,SAMEA1403666,PRJEB2138,lineage2.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR133914,SAMEA1403961,SAMEA1403961,PRJEB2138,lineage2.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR133915,SAMEA1403951,SAMEA1403951,PRJEB2138,lineage2.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR133917,SAMEA1403937,SAMEA1403937,PRJEB2138,lineage4.3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR133919,SAMEA1403999,SAMEA1403999,PRJEB2138,lineage2.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR133920,SAMEA1403989,SAMEA1403989,PRJEB2138,lineage4.3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR133921,SAMEA1403829,SAMEA1403829,PRJEB2138,lineage4.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR133922,SAMEA1403877,SAMEA1403877,PRJEB2138,lineage4.3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR133924,SAMEA1403850,SAMEA1403850,PRJEB2138,lineage2.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR133925,SAMEA1403863,SAMEA1403863,PRJEB2138,lineage2.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR133926,SAMEA1403910,SAMEA1403910,PRJEB2138,lineage2.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR133929,SAMEA1403895,SAMEA1403895,PRJEB2138,lineage2.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR133930,SAMEA1403903,SAMEA1403903,PRJEB2138,lineage2.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR133932,SAMEA1403782,SAMEA1403782,PRJEB2138,lineage2.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR133934,SAMEA1403768,SAMEA1403768,PRJEB2138,lineage4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR133935,SAMEA1403756,SAMEA1403756,PRJEB2138,lineage2.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR133937,SAMEA1403741,SAMEA1403741,PRJEB2138,lineage4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR133938,SAMEA1403745,SAMEA1403745,PRJEB2138,lineage4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR133939,SAMEA1403734,SAMEA1403734,PRJEB2138,lineage4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR133941,SAMEA1403800,SAMEA1403800,PRJEB2138,lineage2.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR133942,SAMEA1403805,SAMEA1403805,PRJEB2138,lineage4.1.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR133944,SAMEA1403810,SAMEA1403810,PRJEB2138,lineage2.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR133945,SAMEA1403817,SAMEA1403817,PRJEB2138,lineage2.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR133946,SAMEA1404033,SAMEA1404033,PRJEB2138,lineage2.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR133947,SAMEA1404029,SAMEA1404029,PRJEB2138,lineage2.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR133948,SAMEA1404045,SAMEA1404045,PRJEB2138,lineage2.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR133949,SAMEA1404048,SAMEA1404048,PRJEB2138,lineage4.3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR133950,SAMEA1404042,SAMEA1404042,PRJEB2138,lineage2.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR133951,SAMEA1403644,SAMEA1403644,PRJEB2138,lineage2.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR133952,SAMEA1403652,SAMEA1403652,PRJEB2138,lineage4.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR133953,SAMEA1403566,SAMEA1403566,PRJEB2138,lineage2.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR133954,SAMEA1403574,SAMEA1403574,PRJEB2138,lineage2.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR133955,SAMEA1403578,SAMEA1403578,PRJEB2138,lineage2.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR133958,SAMEA1403600,SAMEA1403600,PRJEB2138,lineage2.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR133959,SAMEA1403607,SAMEA1403607,PRJEB2138,lineage2.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR133961,SAMEA1403854,SAMEA1403854,PRJEB2138,lineage4.1.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR133962,SAMEA1403864,SAMEA1403864,PRJEB2138,lineage4.3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR133963,SAMEA1403879,SAMEA1403879,PRJEB2138,lineage2.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR133964,SAMEA1403890,SAMEA1403890,PRJEB2138,lineage4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR133965,SAMEA1403883,SAMEA1403883,PRJEB2138,lineage4.1.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR133966,SAMEA1403893,SAMEA1403893,PRJEB2138,lineage2.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR133967,SAMEA1403899,SAMEA1403899,PRJEB2138,lineage4.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR133968,SAMEA1403916,SAMEA1403916,PRJEB2138,lineage2.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR133969,SAMEA1403923,SAMEA1403923,PRJEB2138,lineage4.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR133970,SAMEA1403799,SAMEA1403799,PRJEB2138,lineage2.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR133971,SAMEA1403959,SAMEA1403959,PRJEB2138,lineage4.1.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR133973,SAMEA1403976,SAMEA1403976,PRJEB2138,lineage2.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR133974,SAMEA1403963,SAMEA1403963,PRJEB2138,lineage4.4.1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR133975,SAMEA1403990,SAMEA1403990,PRJEB2138,lineage2.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR133977,SAMEA1403987,SAMEA1403987,PRJEB2138,lineage4.3.4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR133978,SAMEA1403610,SAMEA1403610,PRJEB2138,lineage4.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR133979,SAMEA1403599,SAMEA1403599,PRJEB2138,lineage2.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR133980,SAMEA1403589,SAMEA1403589,PRJEB2138,lineage4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR133981,SAMEA1403700,SAMEA1403700,PRJEB2138,lineage4.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR133982,SAMEA1403707,SAMEA1403707,PRJEB2138,lineage2.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR133983,SAMEA1403675,SAMEA1403675,PRJEB2138,lineage2.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR133984,SAMEA1403685,SAMEA1403685,PRJEB2138,lineage2.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR133985,SAMEA1403787,SAMEA1403787,PRJEB2138,lineage4.3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR133987,SAMEA1403793,SAMEA1403793,PRJEB2138,lineage2.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR133988,SAMEA1403770,SAMEA1403770,PRJEB2138,lineage2.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR133989,SAMEA1403777,SAMEA1403777,PRJEB2138,lineage4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR137191,SAMEA1403667,SAMEA1403667,PRJEB2138,lineage4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR137192,SAMEA1403672,SAMEA1403672,PRJEB2138,lineage2.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR137193,SAMEA1403660,SAMEA1403660,PRJEB2138,lineage3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR137195,SAMEA1403957,SAMEA1403957,PRJEB2138,lineage2.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR137197,SAMEA1403941,SAMEA1403941,PRJEB2138,lineage4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR137198,SAMEA1403939,SAMEA1403939,PRJEB2138,lineage2.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR137200,SAMEA1403826,SAMEA1403826,PRJEB2138,lineage4.3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR137201,SAMEA1403882,SAMEA1403882,PRJEB2138,lineage4.3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR137203,SAMEA1403876,SAMEA1403876,PRJEB2138,lineage2.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR137204,SAMEA1403865,SAMEA1403865,PRJEB2138,lineage2.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR137205,SAMEA1403855,SAMEA1403855,PRJEB2138,lineage2.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR137206,SAMEA1403920,SAMEA1403920,PRJEB2138,lineage2.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR137207,SAMEA1403912,SAMEA1403912,PRJEB2138,lineage2.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR137208,SAMEA1403904,SAMEA1403904,PRJEB2138,lineage2.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR137209,SAMEA1403906,SAMEA1403906,PRJEB2138,lineage4.3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR137210,SAMEA1403585,SAMEA1403585,PRJEB2138,lineage2.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR137212,SAMEA1403596,SAMEA1403596,PRJEB2138,lineage2.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR137213,SAMEA1403559,SAMEA1403559,PRJEB2138,lineage4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR137214,SAMEA1403564,SAMEA1403564,PRJEB2138,lineage4.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR137215,SAMEA1403552,SAMEA1403552,PRJEB2138,lineage2.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR137216,SAMEA1403580,SAMEA1403580,PRJEB2138,lineage2.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR137218,SAMEA1403654,SAMEA1403654,PRJEB2138,lineage2.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR137220,SAMEA1404035,SAMEA1404035,PRJEB2138,lineage2.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR137221,SAMEA1404016,SAMEA1404016,PRJEB2138,lineage2.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR137222,SAMEA1404025,SAMEA1404025,PRJEB2138,lineage2.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR137223,SAMEA1404004,SAMEA1404004,PRJEB2138,lineage2.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR137224,SAMEA1404009,SAMEA1404009,PRJEB2138,lineage4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR137225,SAMEA1404006,SAMEA1404006,PRJEB2138,lineage2.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR137227,SAMEA1403838,SAMEA1403838,PRJEB2138,lineage2.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR137228,SAMEA1403830,SAMEA1403830,PRJEB2138,lineage4.1.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR137229,SAMEA1403823,SAMEA1403823,PRJEB2138,lineage2.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR137230,SAMEA1403658,SAMEA1403658,PRJEB2138,lineage2.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR137231,SAMEA1403648,SAMEA1403648,PRJEB2138,lineage2.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR137232,SAMEA1403647,SAMEA1403647,PRJEB2138,lineage2.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR137233,SAMEA1403576,SAMEA1403576,PRJEB2138,lineage4.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR137234,SAMEA1403568,SAMEA1403568,PRJEB2138,lineage2.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR137235,SAMEA1403561,SAMEA1403561,PRJEB2138,lineage2.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR137238,SAMEA1403612,SAMEA1403612,PRJEB2138,lineage4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR137239,SAMEA1403595,SAMEA1403595,PRJEB2138,lineage4.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR137240,SAMEA1403720,SAMEA1403720,PRJEB2138,lineage2.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR137241,SAMEA1403862,SAMEA1403862,PRJEB2138,lineage2.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR137242,SAMEA1403849,SAMEA1403849,PRJEB2138,lineage2.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR137243,SAMEA1403891,SAMEA1403891,PRJEB2138,lineage2.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
